entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved,ob_formed
2024-05-29 12:00:00,2024-05-29 13:00:00,short,2341.9,2345.7844285714286,2345.7844285714286,2330.2467142857145,0.46,-3.8844285714285434,-178.683714285713,SL,17879.86127857145,False,2024-05-28 07:00:00
2024-05-31 12:00:00,2024-05-31 14:00:00,long,2346.65,2347.15,2347.15,2361.70555357143,0.36,0.5,18.0,SL,17897.86127857145,True,2024-05-31 02:00:00
2024-05-31 14:00:00,2024-05-31 15:00:00,short,2344.04,2330.5046964285716,2348.5517678571427,2330.5046964285716,0.4,13.535303571428358,541.4121428571343,TP,18439.273421428585,False,2024-05-31 00:00:00
2024-06-03 07:00:00,2024-06-03 10:00:00,short,2322.93,2329.2145178571427,2329.2145178571427,2304.076446428571,0.29,-6.284517857142873,-182.2510178571433,SL,18257.022403571442,False,2024-05-31 19:00:00
2024-06-07 08:00:00,2024-06-07 09:00:00,short,2371.15,2346.1131785714297,2379.495607142857,2346.1131785714297,0.22,25.03682142857042,550.8100714285492,TP,18807.832474999992,False,2024-06-07 02:00:00
2024-06-12 12:00:00,2024-06-12 13:00:00,long,2314.105,2321.312660714286,2311.7024464285714,2321.312660714286,0.78,7.207660714285794,562.1975357142919,TP,19370.030010714283,False,2024-06-12 04:00:00
2024-06-13 12:00:00,2024-06-13 13:00:00,long,2305.775,2320.5936071428587,2300.835464285714,2320.5936071428587,0.39,14.818607142858582,577.9256785714847,TP,19947.95568928577,False,2024-06-10 14:00:00
2024-06-13 13:00:00,2024-06-13 14:00:00,short,2321.44,2307.1262499999993,2326.2112500000003,2307.1262499999993,0.42,14.31375000000071,601.1775000000298,TP,20549.1331892858,False,2024-06-12 20:00:00
2024-06-17 15:00:00,2024-06-17 18:00:00,short,2322.68,2317.98,2322.18,2312.406714285713,0.6,4.699999999999818,281.9999999999891,SessionEnd,20831.13318928579,True,2024-06-17 03:00:00
2024-06-18 12:00:00,2024-06-18 15:00:00,short,2320.99,2328.4251249999998,2328.4251249999998,2298.684625,0.28,-7.435124999999971,-208.1834999999992,SL,20622.94968928579,False,2024-06-17 14:00:00
2024-06-18 15:00:00,2024-06-18 18:00:00,long,2324.215,2331.36,2324.715,2341.722625000001,0.35,7.144999999999982,250.07499999999936,SessionEnd,20873.02468928579,True,2024-06-18 01:00:00
2024-06-21 11:00:00,2024-06-21 13:00:00,long,2364.11,2350.7629464285715,2350.7629464285715,2404.151160714286,0.16,-13.34705357142866,-213.55285714285856,SL,20659.47183214293,False,2024-06-20 15:00:00
2024-06-21 13:00:00,2024-06-21 14:00:00,short,2358.485,2337.352571428571,2365.529142857143,2337.352571428571,0.29,21.132428571429045,612.8404285714422,TP,21272.312260714374,False,2024-06-21 07:00:00
2024-06-25 16:00:00,2024-06-25 18:00:00,short,2324.285,2319.305,2323.785,2310.623910714285,0.47,4.980000000000018,234.06000000000083,SessionEnd,21506.372260714375,True,2024-06-25 04:00:00
2024-06-27 12:00:00,2024-06-27 18:00:00,long,2317.185,2326.31,2321.886785714286,2331.2900357142858,0.46,9.125,419.75,SessionEnd,21926.122260714375,True,2024-06-26 07:00:00
2024-07-02 13:00:00,2024-07-02 14:00:00,long,2334.14,2330.488392857143,2330.488392857143,2345.0948214285704,0.6,-3.6516071428568466,-219.0964285714108,SL,21707.025832142965,False,2024-07-02 02:00:00
2024-07-05 12:00:00,2024-07-05 13:00:00,long,2359.815,2367.27375,2357.32875,2367.27375,0.87,7.458749999999782,648.911249999981,TP,22355.937082142947,False,2024-07-04 14:00:00
2024-07-16 12:00:00,2024-07-16 13:00:00,long,2433.31,2446.7577142857135,2428.8274285714288,2446.7577142857135,0.5,13.447714285713573,672.3857142856787,TP,23028.322796428627,False,2024-07-15 16:00:00
2024-07-17 13:00:00,2024-07-17 14:00:00,long,2479.555,2468.4496607142855,2468.4496607142855,2512.8710178571428,0.21,-11.105339285714308,-233.21212500000047,SL,22795.110671428625,False,2024-07-17 02:00:00
2024-07-24 12:00:00,2024-07-24 16:00:00,long,2417.905,2420.45625,2420.45625,2434.5570357142865,0.41,2.551249999999982,104.60124999999925,SL,22899.711921428625,True,2024-07-24 05:00:00
2024-07-24 17:00:00,2024-07-24 18:00:00,short,2411.875,2408.245,2411.375,2399.4925,0.55,3.630000000000109,199.650000000006,SessionEnd,23099.36192142863,True,2024-07-24 09:00:00
2024-07-30 16:00:00,2024-07-30 17:00:00,long,2393.905,2408.2875892857146,2389.1108035714287,2408.2875892857146,0.48,14.382589285714403,690.3642857142913,TP,23789.72620714292,False,2024-07-29 13:00:00
2024-07-31 13:00:00,2024-07-31 15:00:00,long,2421.24,2421.74,2421.74,2435.7408214285697,0.49,0.5,24.5,SL,23814.22620714292,True,2024-07-31 05:00:00
2024-08-02 14:00:00,2024-08-02 15:00:00,short,2446.0,2421.419767857143,2454.1934107142856,2421.419767857143,0.29,24.580232142856858,712.8267321428488,TP,24527.05293928577,False,2024-08-02 00:00:00
2024-08-06 12:00:00,2024-08-06 18:00:00,short,2398.82,2392.91,2398.32,2366.1356964285724,0.23,5.910000000000309,135.9300000000071,SessionEnd,24662.98293928578,True,2024-08-06 06:00:00
2024-08-09 10:00:00,2024-08-09 13:00:00,long,2427.34,2421.6793214285713,2421.6793214285713,2444.322035714287,0.44,-5.660678571428889,-249.06985714287111,SL,24413.913082142906,False,2024-08-09 02:00:00
2024-08-14 12:00:00,2024-08-14 13:00:00,long,2465.535,2462.037017857143,2462.037017857143,2476.0289464285706,0.7,-3.4979821428569267,-244.85874999998487,SL,24169.05433214292,False,2024-08-13 23:00:00
2024-08-15 12:00:00,2024-08-15 13:00:00,short,2467.71,2441.296553571429,2476.514482142857,2441.296553571429,0.27,26.413446428571206,713.1630535714226,TP,24882.217385714343,False,2024-08-13 13:00:00
2024-08-16 07:00:00,2024-08-16 12:00:00,long,2458.395,2472.940446428571,2465.266964285714,2472.940446428571,0.51,14.545446428570813,741.8177678571114,TP,25624.035153571454,True,2024-08-15 19:00:00
2024-08-20 07:00:00,2024-08-20 08:00:00,long,2505.005,2517.9990714285714,2500.673642857143,2517.9990714285714,0.59,12.99407142857126,766.6502142857042,TP,26390.685367857157,False,2024-08-20 01:00:00
2024-08-26 07:00:00,2024-08-26 13:00:00,long,2516.025,2520.296428571429,2520.296428571429,2528.425339285716,0.64,4.271428571428714,273.3714285714377,SL,26664.056796428595,True,2024-08-26 00:00:00
2024-08-27 17:00:00,2024-08-27 18:00:00,long,2515.11,2524.46,2503.5167857142856,2549.889642857144,0.23,9.349999999999909,215.0499999999979,SessionEnd,26879.106796428594,False,2024-08-27 07:00:00
2024-08-28 11:00:00,2024-08-28 13:00:00,short,2504.915,2504.415,2504.415,2479.898,0.32,0.5,16.0,SL,26895.106796428594,True,2024-08-27 08:00:00
2024-09-02 07:00:00,2024-09-02 08:00:00,short,2497.69,2501.232178571429,2501.232178571429,2487.0634642857135,0.76,-3.542178571428849,-269.2055714285925,SL,26625.901225,False,2024-08-30 17:00:00
2024-09-06 12:00:00,2024-09-06 13:00:00,long,2516.01,2512.8490892857144,2512.8490892857144,2525.4927321428577,0.84,-3.1609107142858193,-265.5165000000088,SL,26360.384724999993,False,2024-09-06 01:00:00
2024-09-06 13:00:00,2024-09-06 15:00:00,short,2513.84,2513.34,2513.34,2498.3894642857144,0.51,0.5,25.5,SL,26385.884724999993,True,2024-09-06 02:00:00
2024-09-09 16:00:00,2024-09-09 18:00:00,long,2505.38,2504.8,2484.2347142857143,2568.8158571428576,0.12,-0.5799999999999272,-6.959999999999127,SessionEnd,26378.924724999993,False,2024-09-06 16:00:00
2024-09-10 14:00:00,2024-09-10 18:00:00,long,2504.485,2516.42,2507.9739285714286,2521.6370714285727,0.46,11.934999999999945,549.0099999999975,SessionEnd,26927.934724999992,True,2024-09-09 17:00:00
2024-09-11 15:00:00,2024-09-11 18:00:00,long,2513.925,2511.555,2505.3858035714284,2539.5425892857156,0.32,-2.3700000000003456,-75.84000000001106,SessionEnd,26852.09472499998,False,2024-09-10 13:00:00
2024-09-12 12:00:00,2024-09-12 13:00:00,long,2519.48,2529.565517857143,2516.1181607142858,2529.565517857143,0.8,10.085517857142804,806.8414285714243,TP,27658.936153571405,False,2024-09-12 06:00:00
2024-09-18 12:00:00,2024-09-18 13:00:00,long,2574.095,2570.8810535714288,2570.8810535714288,2583.736839285713,0.86,-3.2139464285710346,-276.399392857109,SL,27382.536760714298,False,2024-09-18 00:00:00
2024-09-23 07:00:00,2024-09-23 18:00:00,long,2615.605,2627.48,2623.245178571429,2656.5732678571426,0.2,11.875,237.5,SessionEnd,27620.036760714298,True,2024-09-20 13:00:00
2024-09-24 14:00:00,2024-09-24 18:00:00,long,2638.185,2657.365,2645.575,2680.3244999999997,0.2,19.179999999999836,383.5999999999967,SessionEnd,28003.636760714297,True,2024-09-24 05:00:00
2024-09-26 13:00:00,2024-09-26 18:00:00,long,2664.43,2675.98,2664.93,2697.978785714285,0.25,11.550000000000182,288.75000000000455,SessionEnd,28292.3867607143,True,2024-09-25 14:00:00
2024-09-30 10:00:00,2024-09-30 18:00:00,short,2649.88,2627.257857142857,2644.83875,2627.257857142857,0.38,22.62214285714299,859.6414285714336,TP,29152.028189285735,True,2024-09-27 16:00:00
