entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved
2025-01-21 07:00:00,2025-01-21 08:00:00,long,2729.885,2721.7022,2721.7022,2750.342,0.14,-8.182800000000043,-114.55920000000062,SL,10945.575585714263,False
2025-01-21 11:00:00,2025-01-21 16:00:00,long,2724.105,2743.32,2735.1324,2745.460714285714,0.13,19.215000000000146,249.7950000000019,SessionEnd,11195.370585714265,True
2025-01-29 08:00:00,2025-01-29 09:00:00,long,2764.16,2760.524857142857,2760.524857142857,2773.247857142857,0.31,-3.6351428571429096,-112.6894285714302,SL,11082.681157142835,False
2025-01-31 07:00:00,2025-01-31 08:00:00,long,2798.355,2792.719285714286,2792.719285714286,2812.444285714286,0.2,-5.63571428571413,-112.7142857142826,SL,10969.966871428553,False
2025-01-31 11:00:00,2025-01-31 15:00:00,long,2800.44,2814.957857142857,2806.441428571429,2814.957857142857,0.19,14.517857142856883,275.8392857142808,TP,11245.806157142833,True
2025-02-04 12:00:00,2025-02-04 14:00:00,long,2821.88,2840.8753571428574,2822.9221428571427,2840.8753571428574,0.15,18.9953571428573,284.9303571428595,TP,11530.736514285692,True
2025-02-06 11:00:00,2025-02-06 13:00:00,long,2865.995,2858.1931142857143,2858.1931142857143,2885.499714285714,0.15,-7.801885714285618,-117.02828571428427,SL,11413.708228571408,False
2025-02-26 13:00:00,2025-02-26 15:00:00,short,2906.02,2905.52,2905.52,2882.494642857143,0.12,0.5,6.0,SL,11419.708228571408,True
2025-03-05 15:00:00,2025-03-05 16:00:00,long,2917.26,2923.87,2917.76,2948.4160714285717,0.09,6.609999999999673,59.48999999999705,SessionEnd,11479.198228571404,True
2025-03-12 08:00:00,2025-03-12 09:00:00,long,2922.27,2916.092142857143,2916.092142857143,2937.714642857143,0.19,-6.177857142857192,-117.37928571428665,SL,11361.818942857117,False
2025-03-12 14:00:00,2025-03-12 16:00:00,long,2921.985,2936.235,2926.913142857143,2943.514285714286,0.13,14.25,185.25,SessionEnd,11547.068942857117,True
2025-03-17 09:00:00,2025-03-17 12:00:00,long,2995.79,2989.3284285714285,2989.3284285714285,3011.9439285714284,0.18,-6.46157142857146,-116.30828571428628,SL,11430.76065714283,False
2025-03-17 14:00:00,2025-03-17 16:00:00,long,2998.72,2994.57,2991.0592857142856,3017.8717857142856,0.15,-4.149999999999636,-62.24999999999454,SessionEnd,11368.510657142835,False
